Ааи, ааи, уи ашықәсан уаҩ иимбац маи азгылеит аҟәатәи аботаникатә баҳча.	Нет, но все же... да, и вправду необычный май буйствовал в сухумском ботаническом саду в том году.
Маи-лаԥшхырԥага.	Май-иллюзионист.
Алиссум, акосмеиа, ишаԥу еиԥш, алшықәсанык ишәҭуеит, аха, убригьы џьашьатәыми, маи иақәыршәаны азаара рзаазшәа, убасеиԥш иблахкыгаха шәҭқәак рықәыԥсеит, убасеиԥш фҩы хаак ыҵадырчит ақәаҵа, аԥсшьаҩцәа иарҩышьны акәын абаҳча ишыҵаз.	Алиссум и космея, которые, как правило, цветут в продолжение всего года, почему-то именно в мае словно взбесились: прямо-таки взорвались цветами, одурманивая туристов.
Иара иакәзар...	Так все и было.
Иара иакәзар, ҿымҭ-ԥсымҭ дтәан, нонопелис иаҿышәшәоз ашәҭыцқәа илаԥш рыдырхаланы.	Короче, тому маю опять прекрасно удались все старые майские штучки.
Иҟаԥшьы-уаркалеиуа, аҳауа иалоу анкьаԥышҭа хәыҷқәа иреиԥшын урҭ, мамзаргьы – еилыџьџьаауа ахәдахаҵақәа.	А он... а он спокойно сидел, не говоря ни слова, и все смотрел на осыпавшиеся цветы нонопелиса, ярко-красные, похожие на маленькие воздушные шарики или на груды драгоценных украшений, увеличенные на телеэкране.
Аамҭа шьыбжьагәы иазааигәахон, аха макьана аҵх иалагӡаны зызхара ицәаз аԥша ԥшьаала ашәаԥыџьаԥ реилачыра ишалаз уаҳауан.	В саду время уже близилось к полудню, но пока еще слышался в листве осторожный шорох юного утреннего ветерка, хорошо выспавшегося за ночь.
Иара убас – аҵар рҷырҷырбжьы.	И еще — щебетание птиц.
«шаҟаҩы ирзымдыруазеи, анонопелис шыҟоу, – лахьеиқәрала дхәыцуан уи.	«сколько людей не знает о существовании нонопелиса, — печально думал он.
– шаҟа ирыцҳароузеи иахьырзымдыруа... шаҟагьы ибзиоузеи иахьырзымдыруа».	— и как это плохо, что не знает... и как хорошо, что не знает».
Уи аҽны анонопелис афҩы ублахаҵ аргьежьуа иџьбаран.	В тот день нонопелис благоухал особенно остро.
Иара ахалаҭ шкәакәа ишәын.	На нем был белый халат.
Егьырҭгьы зегьы ахалаҭ шкәакәақәа ршәын.	И все остальные тоже были в белых халатах.
Аҭҵаарадырратә хеилак аилатәара рыман.	Заседал ученый совет.
Дара ҩажәи ҩыџьаҩык ыҟан, иааԥхьаз асасцәагьы налаҵаны.	Их было двадцать два человека — вместе с приглашенными гостями.
Ажәахә ҟаиҵон ачаии асубтропикатә культурақәеи ринститут аҭҵаарадырратә усзуҩы еиҳабы.	Доклад читал старший научный сотрудник института чая и субтропических культур.
Уи «алимон гәыԥ» датәын, убри аҟынтә зыӡбахә имаз аҵаа зычҳауа алимон хкқәа ракәын.	Докладчик был из «лимонной группы», и в этот раз речь шла о морозоустойчивых сортах лимона.
