Адырқәа рбаза	База данных
Арыцхәи аамҭеи	Дата и время
Афинанстәқәа	Финансовые
Аинформациа	Информация
Алогикатәқәа	Логические
Аматематикатәқәа 	Математические
Амассив	Массив
Астатистикатәқәа	Статистические
Аелектронтә таблица	Электронная таблица
Атеқст	Текст
иаҿакхо амодуль	Подключаемый модуль
Ибжьаргылатәуп	Вставить
Ианыхтәуп	Удалить
Игәылԥҟатәуп	Вырезать
Аиагара	Перетаскивание
Ииагатәуп	Переместить
Акопиа ахыхтәуп	Копировать
Атрибутқәа	Атрибуты
Атрибутқәа/Аҵәаӷәақәа	Атрибуты/Линии
Аиҵагыла аҭбаара	Ширина столбца
Аиҵагыла иоптималу аҭбаара	Оптимальная ширина столбца
Ацәаҳәа аҳаракыра	Высота строки
Ацәаҳәа иоптималу аҳаракыра	Оптимальная высота строки
Аҭарҭәара	Заливка
Еидҵатәуп	Объединить
Еихшатәуп	Разбить
Автоформат	Автоформат
Иԥсахтәуп	Заменить
Аҭагалара	Ввод
Иаарԥштәуп адетальқәа	Показать детали
Иҵәахтәуп адетальқәа	Скрыть детали
Агәыԥ	Группировать
Аргәыԥра ықәгатәуп	Разгруппировать
Автоструктура	Автоструктура
Асортра	Сортировка
Афильтр	Фильтр
Иԥсахтәуп адырқәа рбаза адиапазон	Изменить диапазон базы данных
Аимпорт	Импорт
Ирҿыцтәуп адиапазон	Обновить диапазон
Ахьӡқәа рыхьӡынҵа	Список имён
Ихархәатәуп асценари	Использовать сценарий
Иаԥҵатәуп асценари	Создать сценарий
Иԥсахтәуп асценари	Изменить сценарий
Ихархәатәуп абларҭа астиль	Применить стиль ячейки
Иԥсахтәуп адаҟьа астиль	Изменить стиль ячейки
Ихархәатәуп адаҟьа астиль	Применить стиль страницы
Иԥсахтәуп адаҟьа астиль	Изменить стиль страницы
Ихыԥшу абларҭақәа	Зависимые ячейки
Иаарԥштәуп агхақәа	Показать ошибки
Иқәгатәуп ахыцқәа зегьы	Убрать все стрелки
Иазгәаҭатәуп ииашам адырқәа	Отметить неверные данные
Ирҿыцтәуп ахыцқәа	Обновить стрелки
Иԥсахтәуп адырқәа рдиапазон	Изменить диапазон данных
Ахалагаратә шәагаа	Исходный размер
