ааба	восемь
ааба	восьмёрка
аабалыбаҭара	пошатнуться
аабарбарра	покалякать
аабатәи	восьмой
аабаҿы итәоу	восьмиклассник
аабжьажьара	закопаться
аабжьажьара	замешкаться
аабжьажьара	засомневаться
аабжьажьара	позамешкаться
аабжьажьара	позамяться
аабра	приживаемость
аабра	прижиться
аабра	приняться
аабра	уживчивость
аабра	ужиться
аабҭра	стоянка
аабҭыԥ	стоянка
аабыкьа	давеча
аабыкьаӡа	только
аабыкьа	недавно
аабыкьатәи	недавний
аабыҩра	промычать
ааваҟәылара	уступить
аавалара	поравняться
аавҵыҵра	вывернуться
аага	ввоз
аагага	средство
аага	доход
аагазгазара	покачнуться
аагазҽазра	пошатнуться
аагалыхбжатә	полупромышленный
аагалыҵ	продукт
аага	привоз
аагара	ввоз
аагара	вести
аагара	доставка
аагара	завоз
аагара	завозка
аагара	занесение
аагара	занести
аагара	захрюкать
аагара	нанести
аагара	наносить
аагара	напереть
аагара	натаскивание
аагара	подвезти
аагара	подводка
аагара	подвоз
аагара	подвозить
аагара	подвозка
аагара	подгон
аагара	поставить
аагара	поставка
аагара	представление
аагара	привезти
аагара	привесной
аагара	привести
аагара	привлечь
аагара	привод
аагара	привоз
аагара	привозка
аагара	принести
аагара	свезти
аагара	своз
аагара	свозка
аагаратә	завозный
аагарҭа	подвозный
аагарҭа	ресурс
аага	средство
аагаҩ	подвозчик
аагаҩ	подгонщик
аагаҩ	поставщик
аагаҩы	носчик
аагәаҭеира	встревожиться
аагәаҭеира	забегать
аагәаҭеира	забеспокоиться
аагәаҭеира	засуетиться
аагәаҭеира	повертеться
аагәаҭеира	поегозить
аагәаҭеира	посуетиться
аагәашәгәаҭара	растревожить
аагәашәгәаҭеира	забеспокоиться
аагәжәажәара	побеспокоиться
аагәрымра	заворчать
аагәрымра	побурчать
аагәрымра	поворчать
аагәыргәырра	громыхнуть
аагәыргәырра	погромыхать
аагәыргәырра	погрохотать
аагәыцқьа	светлоглазый
аагӡара	достать
аагӡара	дотянуть
ааглыхра	промышленность
ааглыхтауарқәа	промтовары
ааглыхтауартә	промтоварный
ааглыхтә	промышленный
ааглыхҩы	промышленник
аагылара	вырасти
аагылара	остановиться
аагылара	побывка
аагылара	побыть
аагылара	постоять
аагыргырра	завихлять
аагьалара	закачаться
ааӷыӷра	заворчать
ааӷыӷра	зарычать
ааӷыӷра	заурчать
ааӷыӷра	огрызнуться
ааӷыӷра	прорычать
ааӷьарӷьарра	громыхнуть
ааӷьарӷьарра	лязгнуть
ааӷьарӷьарра	погреметь
ааӷьарӷьарра	погромыхать
ааӷьарӷьарра	погрохотать
ааӷьарӷьарра	подребезжать
аадгәыбзыӷлара	полевица
аадгылара	заскочить
аадгылара	набрести
аадгылара	наезд
аадгылара	остановить
аадгылара	приступить
аадыдра	громыхнуть
аазазара	всколебаться
аазазара	всколыхнуться
аазазара	заколыхаться
аазаигәахара	приблизиться
аазхәыцра	подумывать
аазцәырҵра	забрать
аазцәырҵра	зажечься
аазыԥшра	переждать
аазыԥшра	пережидание
аазыԥшра	повременить
аазыԥшра	последить
аазыркьаҿзаара	сжатость
аазыркьаҿра	конспективность
аазыркьаҿра	конспектирование
аазыркьаҿ	экспозе
ааӡаб	мука
ааӡаб	мучение
ааӡа	воспитанный
ааӡамҭа	воспитанник
ааӡамҭа	вскормленник
ааӡаԥса	алименты
ааӡаԥсатә	алиментный
ааӡаԥсашәаҩы	алиментщик
ааӡара амамзаара	неотесенность
ааӡара	благонравие
ааӡара	взрастить
ааӡара	возделывать
ааӡара	воспитать
ааӡара	вскармливание
ааӡара	вскормить
ааӡара	выведение
ааӡара	вывести
ааӡара	выводка
ааӡара	выкармливание
ааӡара	выковать
ааӡара	выкорм
ааӡара	выкормить
ааӡара	вынянчить
ааӡара	выпестовать
ааӡара	вырастить
ааӡара	выращивание
ааӡара	добропорядочность
ааӡара	дойти
ааӡара	достать
ааӡара	достигнуть
ааӡара	досягнуть
ааӡара	дотянуться
ааӡара	закваска
ааӡара змам	неотёсанный
ааӡара	конец
ааӡара	патронат
ааӡара	патронировать
ааӡара	перевоспитать
ааӡара	плодить
ааӡара	поить
ааӡара	произрастить
ааӡара	развести
ааӡара	развод
ааӡара	разводка
