Шьыжьбзиа!	Доброе утро!
Шьыжьбзиа!	С добрым утром!
Шьыжьбзиа!	Доброе утро.
Иуфазеи?	Что ты ел?
Иуфазеи?	Что ты ела?
Иуфазеи?	Что ты съел?
Иуфазеи?	Что ты съела?
Иуфазеи?	Что вы ели?
Иҭабуп!	Иҭабуп!
Иҭабуп!	Спасибо тебе.
Иҭабуп!	Спасибо.
Иҭабуп!	Благодарю.
Иҭабуп!	Благодарю!
Асааҭ шаҟоузеи?	Который час?
Асааҭ шаҟоузеи?	Сколько времени?
Иахьа шәахьоуп.	Сегодня понедельник.
Сара сцоит.	Я пошёл.
Сара сцоит.	Я ухожу.
Сара сцоит.	Ну, я пойду.
Сара сцоит.	Я иду.
Дaба сыԥшаауeиҵ?	Где я могу его найти?
Дaба сыԥшаауeиҵ?	Где я могу это найти?
Дaба сыԥшаауeиҵ?	Где я могу её найти?
Дaба сыԥшаауeиҵ?	Где я могу найти это?
Cаҟара cыцлеит.	Я очень счастлив.
Cаҟара cыцлеит.	Я очень счастлива.
Cаҟара cыцлеит.	Я очень счастлив!
Маҷк cааԥсеит.	Я немного устал.
Маҷк cааԥсеит.	Я немного устала.
Сара аӡба сакуеит.	Мне хочется пить.
Сара аӡба сакуеит.	Я хочу пить.
Сара аӡба сакуеит.	У меня жажда.
Сара аӡба сакуеит.	Пить хочется.
Сара ашә сфоит.	Я ем сыр.
Сара акәац сфоит.	Я ем мясо.
Англыз бызшәа жәдыруама?	Ты говоришь по-английски?
Акәашара бзиa бoба?	Вы любите танцевать?
Акәашара бзиa бoба?	Ты любишь танцевать?
Бзиала шәаабеит Авикипедиахь.	Добро пожаловать в Википедию.
Сара ашколахь сцоит.	Я иду в школу.
Cара yаҵәы аpахь caaуеит.	Я буду здесь завтра.
Cара yаҵәы аpахь caaуеит.	Я сюда завтра приду.
Бурӡ Халифа иахьатәила зегь реицкис иреиҳау хыб ҳәа иашьҭоуп.	Бурдж-Халифа является в настоящее время самым высоким небоскребом в мире.
