AB1	Апланета
AB2	Адгьыл
AB3	Адгьыл
AB4	анахыс
AB5	иҟоу
AB6	адунеи.
AB7	Аокеан.
AB8	Уи
AB9	адгьыл
AB10	аҿы
AB11	-
AB12	ҩыџьара
AB13	ишаны
AB14	х-хәҭак
AB15	ааннакылоит.
AB16	Убри
AB17	аан,
AB18	уи
AB19	аиҳарак
AB20	ахьыҟоу
AB21	аҟынӡа
AB22	ҳара
AB23	ҳазнеиӡом.
AB24	Аокеан
AB25	аиҳарак
AB26	ҭацәуп.
AB27	Аокеан
AB28	иҭоу
AB29	аԥстәқәа
AB30	рыԥсҭазаара
AB31	есқьынгьы
AB32	афатә
AB33	аԥшаареи,
AB34	иаарту
AB35	аокеан
AB36	аҿы
AB37	рымчқәа
AB38	реиқәырхареи
AB39	роуп
AB40	изызку.
AB41	Аокеанқәа
AB42	рыҵа
AB43	Амҩаԥгаҩ
AB44	Девид
AB45	Аттенборо
AB46	Адунеи
AB47	аҿы
AB48	зегьы
AB49	иреиҳау
AB50	аԥсыӡ,
AB51	30
AB52	тонна
AB53	акапануеит.
AB54	Аура
AB55	12
AB56	ыҟоуп.
AB57	Акиттә
AB58	доурҳан.
AB59	Ари
AB60	адоумбеи
AB61	ԥстәы
AB62	амшын
AB63	организм
AB64	ссақәа,
AB65	апланктонқәа
AB66	фатәыс
AB67	иамоуп.
AB68	Акиттә
AB69	доурҳанқәа
AB70	изышьцылоу,
AB71	еиҳа
AB72	афатә
AB73	ахьыҟоу,
AB74	аҭыԥқәа
AB75	ирыбжьоуп
AB76	есқьынгьы,
AB77	Жәабран
AB78	мзазы
AB79	Венесуела
AB80	аԥшаҳәа
AB81	инацәыхараны,
AB82	аӡы
AB83	ахыхь
AB84	иҟоу
AB85	афатә
AB86	ала
AB87	рхы
AB88	ныҟәыргоит.
AB89	Егьырҭ
AB90	аԥсыӡқәа
AB91	арахь
AB92	иаахьеит.
AB93	Аԥсыӡ
AB94	гәыԥ
AB95	дуқәа
AB96	рҽеидкыланы
AB97	изаауагьы
AB98	абри
AB99	апланктон
AB100	азоуп.
AB101	Акиттә
AB102	доурҳан
AB103	аамҭа
AB104	еиламгаӡакәа
AB105	иааит.
AB106	Иџьаушьаша,
AB107	аԥсыӡ
AB108	ссақәа
AB109	акәшоит
AB110	иара.
AB111	Уи
AB112	рҽаԥыракны
AB113	рхы
AB114	аларыхьчозаап.
AB115	Ара
AB116	зыԥсы
AB117	цәгьоу
AB118	агыгшәыг
AB119	ԥсыӡқәа
AB120	маҷӡам
AB121	азы.
AB122	Иаҳҳәап,
AB123	атунԥсыӡ
AB124	ҩеижь
AB125	қәа,
AB126	Урҭ
AB127	ари
AB128	адоумбеи
AB129	иацәшәаны
AB130	ааигәара
AB131	инеиӡом.
AB132	Иаалырҟьаны,
AB133	адоурҳан
AB134	аҵахь
AB135	ицоит
AB136	Иацу
AB137	аԥсыӡқәа
AB138	ирыцәцаразакәушәа.
AB139	Атунӡпсыӡқәа
AB140	шьҭа
AB141	зхы
AB142	ззымыхьчо
AB143	аԥсыӡ
AB144	гәыԥ
AB145	ирыжәларазы
AB146	аҭагылазаашьа
AB147	бзиа
AB148	аиуит.
AB149	Аха
AB150	адоурҳан
AB151	лассы
AB152	игьежьуеит.
AB153	Иара
AB154	ахаҭа
AB155	асаса
AB156	ԥсыӡла
AB157	ирҭәны
AB158	иааит.
AB159	Акиттә
AB160	доурҳан
AB161	апланктон
AB162	мацара
AB163	акәӡамзаап
AB164	фатәыс
AB165	иамоу.
AB166	Шьҭа
AB167	адоурҳангьы
AB168	атунԥсыӡқәагьы
AB169	еицчоит.
AB170	Аха
AB171	атунԥсыӡқәа..
AB172	ргәы
AB173	рҽанызароуп.
AB174	Даргьы
AB175	машәырны,
AB176	акиттә
AB177	доурҳанқәа
AB178	ирҿыҵашәар
AB179	алшоит.
AB180	Ара,
AB181	агыгшәыгқәа
AB182	иаарымԥыхьашәаз,
AB183	ианаарымԥыхьашәалак
AB184	зегьы,
AB185	имҵырԥааит
AB186	ауп.,
AB187	избанзар
AB188	абарақьаҭра
AB189	аамҭа
AB190	кьаҿуп.
AB191	Аԥсыӡ
AB192	гәыԥ
AB193	дуқәа
AB194	аамҭа
AB195	бзиак
AB196	ааиаанӡа,
AB197	шамахамзар,
AB198	еизаӡом.
AB199	Агыгшәыг
AB200	ԥсыӡқәа
AB201	реиҳарак,
AB202	еилыс-ааилысуа,
AB203	рыԥсҭазаара
AB204	зегьы,
AB205	ихту
AB206	аокеан
AB207	аҿы
AB208	афатә
AB209	ԥшаара
AB210	иазкуп.
AB211	Аскат
AB212	Амшын
AB213	ла
AB214	дуӡӡақәа
AB215	апланктоноуп
AB216	фатәыс
AB217	иамоу,
AB218	Дара
AB219	ӡыжәпара
AB220	иалҵәраа
AB221	ауп
AB222	ишцо.
AB223	Аокеан
AB224	доурҳан
AB225	мҵәыжҩаду.
AB226	Аригьы
AB227	ишабалак
AB228	аҽарааԥсаӡм,
AB229	ахы
AB230	даара
AB231	иеиҷаҳауеит.
AB232	%ьабаа
AB233	дук
AB234	мбаӡакәа
AB235	афатә
AB236	аԥшаауеит,
AB237	аокеан
AB238	аҿы
AB239	еиҳараӡак
