RU1	ПЛАНЕТА
RU2	ЗЕМЛя
RU3	пресная
RU4	вода
RU5	составляет
RU6	всего
RU7	3%
RU8	от
RU9	общих
RU10	запасов
RU11	воды
RU12	на
RU13	нашей
RU14	планете.
RU15	Но
RU16	бесценные
RU17	источники
RU18	пресной
RU19	воды
RU20	преподносят
RU21	много
RU22	сюрпризов.
RU23	Вся
RU24	жизнь
RU25	на
RU26	земле,
RU27	в
RU28	конечном
RU29	счёте,
RU30	зависит
RU31	от
RU32	пресной
RU33	воды.
RU34	ПРЕсНАя
RU35	ВОДА
RU36	ведущий
RU37	ДЭВИД
RU38	АТТЕНБОРО
RU39	Таинственные
RU40	Тэпуи
RU41	Венесуэлы,
RU42	так
RU43	называют
RU44	изолированные
RU45	горные
RU46	плато,
RU47	которые
RU48	возвышаются
RU49	над
RU50	джунглями.
RU51	Именно
RU52	эти
RU53	плоские
RU54	горы
RU55	вдохновили
RU56	Артура
RU57	Конан
RU58	Дойла
RU59	на
RU60	создание
RU61	"затерянного
RU62	мира".
RU63	Это
RU64	роман
RU65	о
RU66	фантастической,
RU67	доисторической
RU68	земле.
RU69	За
RU70	многие
RU71	тысячелетия
RU72	ураганные
RU73	ветры
RU74	и
RU75	проливные
RU76	дожди
RU77	воздвигли
RU78	на
RU79	плато
RU80	причудливые
RU81	каменные
RU82	башни.
RU83	Влага
RU84	испаряется
RU85	с
RU86	поверхности
RU87	океана
RU88	и
RU89	переносится
RU90	ветром
RU91	на
RU92	сушу.
RU93	Наталкиваясь
RU94	на
RU95	горы,
RU96	влажный
RU97	воздух
RU98	охлаждается,
RU99	превращается
RU100	в
RU101	облака,
RU102	и,
RU103	наконец,
RU104	в
RU105	дождь
RU106	-
RU107	источник
RU108	пресной
RU109	воды.
RU110	Здесь
RU111	почти
RU112	каждый
RU113	день
RU114	идут
RU115	проливные
RU116	дожди.
RU117	Тропические
RU118	ливни.
RU119	Путешествие
RU120	пресной
RU121	воды
RU122	начинается
RU123	здесь,
RU124	высоко
RU125	в
RU126	горах.
RU127	Мелкие
RU128	ручейки
RU129	объединяются
RU130	в
RU131	могучие
RU132	реки,
RU133	которые
RU134	стремятся
RU135	к
RU136	морю,
RU137	пробегая
RU138	сотни
RU139	километров.
RU140	Водопад
RU141	сальто
RU142	Анхель
RU143	-
RU144	самый
RU145	высокий
RU146	в
RU147	мире.
RU148	Поток
RU149	воды
RU150	низвергается
RU151	в
RU152	пропасть
RU153	с
RU154	почти
RU155	километровой
RU156	высоты.
RU157	Высота
RU158	водопада
RU159	настолько
RU160	велика,
RU161	что
RU162	вода
RU163	не
RU164	достигает
RU165	дна
RU166	"ущелья
RU167	дьявола",
RU168	а
RU169	превращается
RU170	в
RU171	водяную
RU172	пыль.
RU173	Потоки,
RU174	бегущие
RU175	с
RU176	горных
RU177	вершин,
RU178	отличаются
RU179	бурным
RU180	течением.
RU181	Они
RU182	сливаются
RU183	в
RU184	быстрые
RU185	реки,
RU186	набирают
RU187	силу
RU188	и
RU189	образуют
RU190	пороги.
RU191	Вода
RU192	в
RU193	горных
RU194	реках
RU195	холодная,
RU196	она
RU197	бедна
RU198	питательными
RU199	веществами,
RU200	зато
RU201	насыщена
RU202	кислородом.
