RU1	ПЛАНЕТА
RU2	ЗЕМЛя
RU3	Мир
RU4	за
RU5	пределами
RU6	суши.
RU7	Океан.
RU8	Он
RU9	покрывает
RU10	две
RU11	трети
RU12	земной
RU13	поверхности,
RU14	при
RU15	этом
RU16	большая
RU17	его
RU18	часть
RU19	для
RU20	нас
RU21	недосягаема.
RU22	Значительная
RU23	часть
RU24	океана
RU25	совершенно
RU26	пустынна.
RU27	Жизнь
RU28	обитателей
RU29	океана
RU30	проходит
RU31	в
RU32	постоянных
RU33	поисках
RU34	пищи.
RU35	И
RU36	в
RU37	борьбе
RU38	за
RU39	сохранение
RU40	драгоценной
RU41	энергии
RU42	в
RU43	открытом
RU44	океане.
RU45	ОКЕАНсКИЕ
RU46	ГЛУБИНЫ
RU47	ведущий
RU48	ДЭВИД
RU49	АТТЕНБОРО
RU50	самая
RU51	большая
RU52	рыба
RU53	в
RU54	мире
RU55	весом
RU56	30
RU57	тонн,
RU58	длиной
RU59	12
RU60	метров.
RU61	Китовая
RU62	акула.
RU63	Это
RU64	гигантское
RU65	животное
RU66	питается
RU67	мельчайшими
RU68	морскими
RU69	организмами,
RU70	планктоном.
RU71	Китовые
RU72	акулы
RU73	курсируют
RU74	по
RU75	постоянным
RU76	традиционным
RU77	маршрутам
RU78	между
RU79	лучшими
RU80	местами
RU81	кормёжки.
RU82	В
RU83	феврале
RU84	они
RU85	кормятся
RU86	в
RU87	поверхностных
RU88	слоях
RU89	воды,
RU90	вдали
RU91	от
RU92	побережья
RU93	Венесуэлы.
RU94	Другие
RU95	рыбы
RU96	уже
RU97	здесь.
RU98	Большие
RU99	стаи
RU100	приплывают
RU101	сюда
RU102	с
RU103	той
RU104	же
RU105	целью,
RU106	ради
RU107	планктона.
RU108	Китовая
RU109	акула
RU110	прибыла
RU111	точно
RU112	по
RU113	расписанию.
RU114	Как
RU115	ни
RU116	странно,
RU117	мелкие
RU118	рыбёшки
RU119	сами
RU120	окружают
RU121	её.
RU122	На
RU123	самом
RU124	деле,
RU125	они
RU126	используют
RU127	акулу
RU128	как
RU129	щит.
RU130	Ведь
RU131	здесь
RU132	много
RU133	других
RU134	хищных
RU135	рыб.
RU136	Например,
RU137	желтопёрые
RU138	тунцы,
RU139	они
RU140	держатся
RU141	от
RU142	гиганта
RU143	на
RU144	расстоянии.
