Апланета Адгьыл	ПЛАНЕТА ЗЕМЛя
Асакарақәа – ҳадгьыл зегьы аҿы ахԥатәи ахәҭа ааныркылоит.	Пустыни занимают треть поверхности суши Земли.
Адгьыл ахаҿы иану ашәахсҭа дуқәа Ԥсы рхаӡамшәа убоит азныказы. Иџьашьахәуп, аха ус иҟаӡам.	Огромные рубцы на лице планеты кажутся безжизненными, но, как ни странно, это не так.
Асакарақәа зегьы рҿы аԥсҭазаара ыҟан, Есымшагьы иҟоуп.	Во всех пустынях всегда была и продолжается жизнь.
Асакарақәа зегьы рҿы шоураӡам.	Не во всех пустынях жарко.
Сибрантәи сааҭк 80 км аласра рыманы иасуа аԥшақәа Гоби захьӡу Монголатәи асакарахьасы ааргоит.	Ветра из сибири, дующие со скоростью 80 километров в час, несут снег в Монгольскую пустыню Гоби.
Аԥхын ара аҳауа ашыра 50 градус рҟынӡа ихалоит, Аӡын 40 градус рҟынӡа илбаауеит.	Летом температура повышается здесь до 50 градусов по Цельсию, а зимой понижается до минус 40.
Ари ҳапланетаҿы зегь раасҭа ихьшәашәароу аҭыԥқәа рахь иԥхьаӡоуп.	Это - одно из самых суровых мест на планете.
Ас аҳауаҿы имҩаԥысуа аиҭакрақәа ахгара зылшо аԥстәқәа даара имаҷуп.	Мало кто из животных способен выдерживать подобные перепады температуры.
Ҩ-бӷаџьыҟәк змоу абна махҽқәа-абактринқәаадунеи аҿы зегь раасҭа ачҳара змоу, зыхкы маҷу аԥстәқәа иреиуоуп.	Дикие двугорбые верблюды - бактрианы - принадлежат к числу самых редких и самых выносливых млекопитающих на планете.
Дара зегь реиҳа изыргәамҵуа аӡыдароуп.	Их главная проблема - недостаток воды.
Еиҳаракгьы, аӡын – иҟоу ӡ-хәыҷқәакгьы анҵаауа.	Особенно зимой, когда все скудные запасы влаги превращаются в лёд.
Иџьаушьаратәы иҟоуп, аха ара ахаангьы асы ӡыҭраны иҟаӡам, аҳауа хьшәашәацәоуп, ацәаакырагьы агуп азы.	Как ни странно, снег здесь никогда не тает, потому что воздух слишком холодный и слишком сухой.
Абри иахҟьаны амра ашәахәақәа иаразнак асы хылҩа-ԥсылҩартәуеит.	Поэтому солнечные лучи превращают снег сразу в пар.
Аха аӡы зланы иҟоу иара мацароуп азы, амахҽқәа -– асы рфоит.	снег испаряется. Но ведь снег - это единственный источник воды, поэтому верблюды едят снег.
Даҽаџьаракәзар, амахҽ ӡыжәра ианца, зныкҟьарала 200 литр аӡы ажәыр алшоит,	В других условиях верблюд за один поход к водопою может выпить 200 литров воды,
Ара – лассы-лассы, аха маҷ-маҷ иажәлар еиӷьуп.	здесь лучше пить понемногу и часто.
Асы мыцхәы – аԥстәы ашьыр алшоит. Арҭ амахҽқәа жәа-литрак иеиҳаны ирзыжәӡом.	Ведь избыток снега в желудке может привести к гибели животного. Эти верблюды вынуждены ограничиваться 10 литрами жидкости в день.
Аӡын – аҭаацәалалара иаамҭоуп.	Зато зима - это брачный период.
Абасеиԥш аконцерт аҿы амахҽ – бактариан – иаҩсны ицо егьи амахҽ иадҽырбалоит.	Таким необычным концертом самец бактриана привлекает внимание проходящих мимо самок.
Аԥхын амахҽқәа аӡы иацәыхараны изцаӡом.	Летом верблюды не могут уходить далеко от водопоя,
Аха уажәы, зехьынџьара асы анышьҭоу, аҩызцәа ирышьҭаланы иеиԥхьытта идәықәлоит.	но сейчас, когда повсюду лежит снег, в поисках партнёров они разбредаются кто куда.
Иахьа аԥсабараҿы ари асакарақәа зтәыҵәҟьоу аԥстәқәа рахьтә инхаз рхыԥхьаӡара зқьы иреиҵоуп.	сегодня в природе осталось меньше тысячи этих исконных обитателей пустынь.
Асакара Гоби цәҳәыра бааԥсны ишыҟоугьы,ароуп дара ахьаангыло.	И Гоби, несмотря на всю свою суровость - это их последний оплот.
