AB1	Апланета
AB2	Адгьыл
AB3	Асакарақәа
AB4	–
AB5	ҳадгьыл
AB6	зегьы
AB7	аҿы
AB8	ахԥатәи
AB9	ахәҭа
AB10	ааныркылоит.
AB11	Амҩаԥгаҩ
AB12	ДЕВИД
AB13	АТТЕНБОРО
AB14	Адгьыл
AB15	ахаҿы
AB16	иану
AB17	ашәахсҭа
AB18	дуқәа
AB19	Ԥсы
AB20	рхаӡамшәа
AB21	убоит
AB22	азныказы.
AB23	Иџьашьахәуп,
AB24	аха
AB25	ус
AB26	иҟаӡам.
AB27	Асакарақәа
AB28	зегьы
AB29	рҿы
AB30	аԥсҭазаара
AB31	ыҟан,
AB32	Есымшагьы
AB33	иҟоуп.
AB34	АСАКАРАҚӘА
AB35	Асакарақәа
AB36	зегьы
AB37	рҿы
AB38	шоураӡам.
AB39	Сибрантәи
AB40	сааҭк
AB41	80
AB42	км
AB43	аласра
AB44	рыманы
AB45	иасуа
AB46	аԥшақәа
AB47	Гоби
AB48	захьӡу
AB49	Монголатәи
AB50	асакарахьасы
AB51	ааргоит.
AB52	Аԥхын
AB53	ара
AB54	аҳауа
AB55	ашыра
AB56	50
AB57	градус
AB58	рҟынӡа
AB59	ихалоит,
AB60	Аӡын
AB61	40
AB62	градус
AB63	рҟынӡа
AB64	илбаауеит.
AB65	Ари
AB66	ҳапланетаҿы
AB67	зегь
AB68	раасҭа
AB69	ихьшәашәароу
AB70	аҭыԥқәа
AB71	рахь
AB72	иԥхьаӡоуп.
AB73	Ас
AB74	аҳауаҿы
AB75	имҩаԥысуа
AB76	аиҭакрақәа
AB77	ахгара
AB78	зылшо
AB79	аԥстәқәа
AB80	даара
AB81	имаҷуп.
AB82	Ҩ-бӷаџьыҟәк
AB83	змоу
AB84	абна
AB85	махҽқәа-абактринқәаадунеи
AB86	аҿы
AB87	зегь
AB88	раасҭа
AB89	ачҳара
AB90	змоу,
AB91	зыхкы
AB92	маҷу
AB93	аԥстәқәа
AB94	иреиуоуп.
AB95	Дара
AB96	зегь
AB97	реиҳа
AB98	изыргәамҵуа
AB99	аӡыдароуп.
AB100	Еиҳаракгьы,
AB101	аӡын
AB102	–
AB103	иҟоу
AB104	ӡ-хәыҷқәакгьы
AB105	анҵаауа.
AB106	Иџьаушьаратәы
AB107	иҟоуп,
AB108	аха
AB109	ара
AB110	ахаангьы
AB111	асы
AB112	ӡыҭраны
AB113	иҟаӡам,
AB114	аҳауа
AB115	хьшәашәацәоуп,
AB116	ацәаакырагьы
AB117	агуп
AB118	азы.
AB119	Абри
AB120	иахҟьаны
AB121	амра
AB122	ашәахәақәа
AB123	иаразнак
AB124	асы
AB125	хылҩа-ԥсылҩартәуеит.
AB126	Аха
AB127	аӡы
AB128	зланы
AB129	иҟоу
AB130	иара
AB131	мацароуп
AB132	азы,
AB133	амахҽқәа
AB134	-–
AB135	асы
AB136	рфоит.
AB137	Даҽаџьаракәзар,
AB138	амахҽ
AB139	ӡыжәра
AB140	ианца,
AB141	зныкҟьарала
AB142	200
AB143	литр
AB144	аӡы
AB145	ажәыр
AB146	алшоит,
AB147	Ара
AB148	–
AB149	лассы-лассы,
AB150	аха
AB151	маҷ-маҷ
AB152	иажәлар
AB153	еиӷьуп.
AB154	Асы
AB155	мыцхәы
AB156	–
AB157	аԥстәы
AB158	ашьыр
AB159	алшоит.
AB160	Арҭ
AB161	амахҽқәа
AB162	жәа-литрак
AB163	иеиҳаны
AB164	ирзыжәӡом.
AB165	Аӡын
AB166	–
AB167	аҭаацәалалара
AB168	иаамҭоуп.
AB169	Абасеиԥш
AB170	аконцерт
AB171	аҿы
AB172	амахҽ
AB173	–
AB174	бактариан
AB175	–
AB176	иаҩсны
AB177	ицо
AB178	егьи
AB179	амахҽ
AB180	иадҽырбалоит.
AB181	Аԥхын
AB182	амахҽқәа
AB183	аӡы
AB184	иацәыхараны
AB185	изцаӡом.
AB186	Аха
AB187	уажәы,
AB188	зехьынџьара
AB189	асы
AB190	анышьҭоу,
AB191	аҩызцәа
AB192	ирышьҭаланы
AB193	иеиԥхьытта
AB194	идәықәлоит.
AB195	Иахьа
AB196	аԥсабараҿы
AB197	ари
AB198	асакарақәа
AB199	зтәыҵәҟьоу
AB200	аԥстәқәа
AB201	рахьтә
AB202	инхаз
AB203	рхыԥхьаӡара
AB204	зқьы
AB205	иреиҵоуп.
AB206	Асакара
AB207	Гоби
AB208	цәҳәыра
AB209	бааԥсны
AB210	ишыҟоугьы,ароуп
AB211	дара
AB212	ахьаангыло.
AB213	Гоби
AB214	адунеи
AB215	аҿы
AB216	иҟоу
AB217	егьырҭ
AB218	асакарақәа
AB219	иреиԥшӡам,
AB220	аха
AB221	абра
AB222	изышьақәгылеи
AB223	иара?
AB224	Уи
AB225	зыхҟьаз
AB226	ҳәа
AB227	мзызс
AB228	иамоу
AB229	Гималаи
AB230	ауп.
AB231	Аладантә
AB232	аԥшақәа
AB233	иаарго
AB234	аԥҭақәа
AB235	ара
AB236	ари
AB237	ашьха
AB238	ду
AB239	иагәыдҳалоит,
AB240	уантә
AB241	хыхьҟа
AB242	ианхалалак,
AB243	дара
AB244	рцәаакыра
AB245	зегьы
AB246	аладатәи
AB247	ахәқәа
AB248	ирықәнаҭәоит,
AB249	агьи
AB250	аганахь
AB251	ишьҭоу
AB252	адгьылқәа
AB253	ирыхьӡаӡом,
AB254	шамахамзар.
AB255	Асакарақәа
AB256	бзианы
AB257	иубарҭоуп
AB258	акосмос
AB259	аҟнытә.
AB260	Аԥслымӡ
AB261	хәқәа
AB262	шә-километрала
AB263	адгьыл
AB264	иқәшьшьы
AB265	ицоит.
AB266	Аҵиаа
AB267	зынӡа
AB268	иахьыҟам
AB269	ацаҟьақәа
AB270	шьақәгыларақәа
AB271	рҿы
AB272	џьашьахәқәак
AB273	цәырҵуеит.
AB274	Африкатәи
AB275	асакара
AB276	Сахара.Зегь
AB277	раасҭа
AB278	адунеи
AB279	аҿы
AB280	идуу.
AB281	Иара
AB282	Иеиду
AB283	Америкатәи
AB284	Аштатқәа
AB285	зегьы
AB286	ааидкыланы
AB287	ирыҵаркуа
AB288	аҟара
AB289	аҵанакуеит.
AB290	Сахара
AB291	ауп
AB292	адунеи
AB293	зегьы
AB294	аҿы
AB295	аԥслымӡи
AB296	асабеи
AB297	злыҵуа.
AB298	Аԥслымӡ
AB299	фырҭын
AB300	иаалырҟьаны
AB301	асакара
AB302	иаақәлоит,
AB303	уи
AB304	акыраамҭа
AB305	бла
AB306	иамбо
AB307	ихнаҩоит,
AB308	Англиа
AB309	зегьы
AB310	иамҽханакуа
AB311	аҟара
AB312	.
AB313	Аха
AB314	дромоден
AB315	захьӡу
AB316	џьыҟәк
AB317	змоу
AB318	амахҽқәа,
AB319	аангылаӡом
AB320	абарҭ
AB321	афырҭынқәа
AB322	раангьы.
AB323	Аԥслымӡ
AB324	хьанҭа
AB325	хыхь
AB326	адгьыл
AB327	аҟнытә
AB328	метрақәак
AB329	роуп
AB330	иахьышьҭыҵуа,
AB331	аԥслымӡ
AB332	быбыцқәа
AB333	–
AB334	аԥша
AB335	5
AB336	километрак
AB337	иаманы
AB338	хыхь,
AB339	аҩадаҟа
AB340	ихалоит.
AB341	Тоннала
AB342	аԥслымӡ
AB343	хәшырбыб
AB344	шьҭызхуа
AB345	афырҭын
AB346	бааԥс
AB347	ауп
AB348	асакарақәа
AB349	шьақәзыргылогьы.
AB350	Аҳәазақәа
AB351	амса
AB352	цәа
AB353	рхоуп,
AB354	уи
AB355	ауп
AB356	арҭ
AB357	аԥстәқәа
AB358	аԥслымӡ
AB359	џьаџьа
AB360	иацәызыхьчогьы.
AB361	Амаҵақәа
AB362	рзы
AB363	ари
AB364	ажәылара
AB365	бааԥс
AB366	шәарҭоуп.
AB367	Акызаҵәык
AB368	ирылшо,
AB369	рхы
AB370	рыхьчаразы,
AB371	адгьыл
AB372	иҵалароуп.
AB373	Аԥслымӡ
AB374	ихәыҵалароуп.
AB375	Анаатә
AB376	еилагьежьуа,
AB377	илакьуа
AB378	ианықәу
AB379	иааҟәымҵӡакәа
AB380	аԥслымӡ
AB381	аманы
AB382	инаскьоит
AB383	аԥслымӡ
AB384	хәқәеи
AB385	аԥслымӡ
AB386	раани
AB387	шьақәыргыло.
AB388	Арҭ
AB389	аԥслымӡ
AB390	мшынқәа
AB391	надаада
AB392	шә-километрак
AB393	рҟынӡа
AB394	рыҵаркуеит.
AB395	Намибиа
AB396	иқәсуа
AB397	аԥшақәа
AB398	адунеи
AB399	аҿы
AB400	зегь
AB401	раасҭа
AB402	иҳараку
AB403	аԥслымӡ
AB404	хәқәа
AB405	шьақәдыргылеит.
AB406	Урҭ
AB407	ргылара
AB408	300
AB409	метра
AB410	рҟынӡа
AB411	иҟалоит.
AB412	.
AB413	Аԥшақәа
AB414	ихдырбгало
AB415	ақәцәқәа
AB416	роуп,
AB417	убри
AB418	аҟнытә
AB419	иеиҭаҵуагьы
AB420	аԥслымӡ
AB421	хәқәа
AB422	рықәцәқәа
AB423	роуп.
AB424	Арҭ
AB425	ахәқәа
AB426	шьақәзыргылаз
AB427	аԥслымӡ
AB428	сакарақәа
AB429	рҿы
AB430	иеизаз
AB431	аԥслымӡ
AB432	аиҳарак,
AB433	хә-нызықь
AB434	шықәса
AB435	раахыс
AB436	иеиҭамҵӡакәа,
AB437	иахьышьҭац
AB438	ишьҭоуп.
AB439	Ари
AB440	аидара
AB441	-
AB442	иааҟәымҵӡакәа
AB443	иасуа
AB444	аԥша,
AB445	аԥслымӡи
AB446	иареи
AB447	еилаланы
AB448	иҟарҵо
AB449	ақәыӷәӷәара
AB450	-
AB451	адгьылшьақәгыларақәа
AB452	зегьы
AB453	ирылаӡаӡом.
AB454	.
AB455	Арҭ
AB456	акьыр
AB457	цаҟьақәа
AB458	Мысра
AB459	асакара
AB460	шкәакәаҿоуп
AB461	иахьыҟоу,
AB462	аха
AB463	урҭ
AB464	шьҭа
AB465	рыҿҳәара
AB466	ааигәоуп.
AB467	Урҭ
AB468	аанҿасрада
AB469	аԥша
AB470	еиԥхьнарттоит,
AB471	иагьыԥслымӡхоит.
AB472	Уажәы
AB473	амшын
AB474	ԥслымӡ
AB475	аҿы
AB476	–
AB477	иԥсарҽхаз
AB478	адгьылшьақәгыларақәа
AB479	дгьылбжьахаҵас
AB480	ана-ара
AB481	иԥсаҟьаны
AB482	иқәыԥсоуп.
AB483	Зықәцәқәа
AB484	ҵару,
AB485	100
AB486	метрак
AB487	агылара
AB488	змоу
AB489	арҭ
AB490	апирамидақәа
AB491	ажәытә
AB492	зны
AB493	иеизадаз
AB494	ахаҳәтә
AB495	хәы
AB496	иацын.
AB497	Аԥша
AB498	иацны
AB499	иаауа
AB500	аԥслымӡ,
AB501	аҵыхәтәан,
AB502	иҟаӡамшәа
AB503	иқәнахуӡоит
AB504	урҭ.
AB505	Шаҭара
AB506	злам
AB507	аԥша
AB508	иааҟәымҵӡакәа
AB509	асакарақәа
AB510	рхаҿра
AB511	рыԥсахуеит,
AB512	аха
AB513	ԥсахра
AB514	зықәӡамгьы
AB515	акы
AB516	ыҟоуп.
AB517	Амра
AB518	ашыра
AB519	иарбо
AB520	ацәаакыра
AB521	асакара
AB522	иқәу
AB523	зегьы
AB524	рыԥсҭазаареи
AB525	рҵасқәеи
AB526	акыр
AB527	ирныԥшуеит,
AB528	анырра
AB529	анаҭоит.
AB530	Амра
AB531	ааӡагоуп,
AB532	аԥсҭазаара
AB533	ацуп,
AB534	аха
AB535	Аԥырхага
AB536	ӷәӷәагьы
AB537	ҟанаҵоит.
AB538	Убри
AB539	аҟнытә
AB540	акенгуру
AB541	аԥшь
AB542	дуқәа
AB543	ргәырҽанызароуп
AB544	Макьана,
AB545	Амра
AB546	лаҟәны
AB547	иҟанаҵ
AB548	ишәарҭаӡам,
AB549	аха
AB550	аҭагылазаашьа
AB551	лассы
AB552	аҽаԥсахуеит.
AB553	Австралиа
AB554	апланетаҿы
AB555	даҽаџьара
AB556	аасҭа
AB557	аарҩара
AB558	ахьыҟоу
AB559	континентуп.
AB560	Ара
AB561	ҽынла
AB562	ашоура
AB563	бааԥсқәа
AB564	ҟалоит.
AB565	Ес-сааҭ
AB566	ашоура
AB567	5
AB568	градуск
AB569	ихалоит.
AB570	Лассы
AB571	аԥстәқәа
AB572	рзы
AB573	ишәарҭахо
AB574	аҟынӡа
AB575	ишоурахоит.
AB576	Хыҵакырҭа
AB577	змауз
AB578	акенгуру
AB579	ашоура
AB580	ахы
AB581	иасыр,
AB582	иҭахар
AB583	алшоит.
AB584	Амра
AB585	аҵаҟа,
AB586	адгьыл
AB587	ахыхь
AB588	аҳауа
AB589	шьҭа
AB590	70
AB591	градус
AB592	рҟынӡа
AB593	ихалоит.
AB594	Шьыбжьагәазы
AB595	Амра
AB596	еиҳагьы
AB597	аҽарӷәӷәоит,
AB598	акенгуру
AB599	аҽамҵәыхар
AB600	иазымчҳауа
AB601	иҟалоит.
AB602	Ашәшьыраҿы
AB603	–
AB604	ишиашоу
AB605	амра
AB606	ашәахәақәа
AB607	ирцәыҵәахуп,
AB608	аха
AB609	иара
AB610	ацәеижь
AB611	амцашоура
AB612	есааира
AB613	ахалара
AB614	иаҿуп.
AB615	Убри
AB616	аҟнытә
AB617	ацәа
AB618	аҵаҟаҵәҟьа
AB619	ашьа
AB620	ныҟәызго
AB621	адақәа
AB622	ахьыҟоу
AB623	аҭыԥқәа
AB624	рҿы
AB625	–аԥхьатәи
AB626	ашьапқәа
AB627	рырбзара
AB628	иалагоит.
AB629	Абас
AB630	акенгуру
AB631	ажәӡы
AB632	ихылҩа-ԥсылҩаханы,
AB633	ианақәбалак
AB634	ашьа
AB635	архьшәашәоит.
AB636	Абри
AB637	асахьала
AB638	иубоит
AB639	абри
AB640	апроцесс
AB641	шаҟа
AB642	лыҵшәа
AB643	аманы
AB644	имҩаԥысуа.
AB645	Аеҵәа
AB646	ԥшшәы
AB647	иеиҳа
AB648	ихьшәашәаз
AB649	ацәеижьхәҭақәа
AB650	роуп.
AB651	Ажәӡы
AB652	шақәбаз
AB653	еиԥшҵәҟьа,
AB654	еиҭа
AB655	иналагоит
AB656	ари
AB657	апроцесс,
AB658	аха
AB659	уи
AB660	акенгуру
AB661	аорганизм
AB662	акыр
AB663	аӡы
AB664	ацәнарӡуеит.
AB665	Ашәшьыраҿгьы
AB666	адгьыл
AB667	адырган
AB668	еиԥшҵәҟьа
