RU1	ПЛАНЕТА
RU2	ЗЕМЛя
RU3	Оба
RU4	полюса
RU5	нашей
RU6	планеты
RU7	покрыты
RU8	льдом.
RU9	Это
RU10	самые
RU11	обширные
RU12	и
RU13	самые
RU14	суровые
RU15	пустыни
RU16	в
RU17	мире.
RU18	Больше
RU19	нигде
RU20	в
RU21	мире
RU22	смена
RU23	времён
RU24	года
RU25	не
RU26	происходиттак
RU27	резко,
RU28	как
RU29	здесь.
RU30	В
RU31	результате,
RU32	каждый
RU33	год
RU34	льды
RU35	наступают
RU36	и
RU37	отступают.
RU38	Вся
RU39	жизнь
RU40	на
RU41	полюсах
RU42	зависит
RU43	от
RU44	этого
RU45	цикла.
RU46	ЛЕДяНЫЕ
RU47	МИРЫ
RU48	ведущий
RU49	ДЭВИД
RU50	АТТЕНБОРО
RU51	Когда
RU52	первые
RU53	полярные
RU54	исследователи
RU55	двигались
RU56	к
RU57	полюсу,
RU58	они
RU59	обнаружили
RU60	эти
RU61	гигантские
RU62	ледяные
RU63	соборы,
RU64	обозначавшие
RU65	вход
RU66	на
RU67	неизведанную
RU68	территорию.
RU69	Проходя
RU70	мимо
RU71	этих
RU72	возвышающихся
RU73	айсбергов,
RU74	путники
RU75	гадали,
RU76	какие
RU77	неземные
RU78	пейзажи
RU79	ждут
RU80	их
RU81	впереди?
RU82	По
RU83	мере
RU84	продвижения
RU85	к
RU86	полюсу,
RU87	льда
RU88	становилось
RU89	всё
RU90	больше,
RU91	но
RU92	ничто
RU93	не
RU94	могло
RU95	подготовить
RU96	их
RU97	к
RU98	встрече
RU99	с
RU100	ледяным
RU101	миром,
RU102	который,
RU103	наконец,
RU104	предстал
RU105	их
RU106	взорам.
RU107	Терра
RU108	инкогнито
RU109	-
RU110	неведомая
RU111	земля.
RU112	На
RU113	южном
RU114	полюсе
RU115	нашей
RU116	планеты
RU117	расположен
RU118	континент
RU119	Антарктида,
RU120	площадь
RU121	его
RU122	превышает
RU123	площадь
RU124	соединённых
RU125	Штатов.
RU126	Здесь
RU127	сосредоточено
RU128	90%
RU129	всего
RU130	льда
RU131	нашей
RU132	планеты.
RU133	Ледяной
RU134	мир
RU135	кажется
RU136	абсолютно
RU137	безжизненным,
RU138	пока
RU139	не
RU140	приходит
RU141	весна.
RU142	Пингвины
RU143	Адели.
RU144	Торопятся.
RU145	Время
RU146	пошло.
RU147	Вместо
RU148	того,
RU149	чтобы
RU150	ждать
RU151	весеннего
RU152	таяния
RU153	снегов,
RU154	пингвины
RU155	спешат
RU156	на
RU157	юг
RU158	по
RU159	скованному
RU160	льдом
RU161	морю.
RU162	Они
RU163	идут
RU164	сюда
RU165	для
RU166	размножения,
RU167	полярное
RU168	лето
RU169	настолько
RU170	коротко,
RU171	что
RU172	они
RU173	должны
RU174	быть
RU175	на
RU176	гнездовьях
RU177	до
RU178	начала
RU179	оттепели.
RU180	По
RU181	мере
RU182	схода
RU183	льдов,
RU184	животные
RU185	могут
RU186	продвигаться
RU187	на
RU188	юг
RU189	всё
RU190	дальше.
RU191	Воды
RU192	Антарктики
RU193	богаты
RU194	пищей,
RU195	поэтому
RU196	отовсюду
RU197	сюда
RU198	стекаются
RU199	самые
RU200	разные
RU201	животные.
RU202	Большие
RU203	стаи
RU204	антарктических
RU205	пингвинов
RU206	выходят
RU207	на
RU208	берег,
RU209	чтобы
RU210	отложить
RU211	яйца.
RU212	Ни
RU213	одна
RU214	птица
RU215	не
RU216	захочет
RU217	откладывать
RU218	яйца
RU219	прямо
RU220	на
RU221	лёд,
RU222	поэтому
RU223	скалы
RU224	представляют
RU225	большую
RU226	ценность.
RU227	Ради
RU228	лучших
RU229	мест
RU230	можно
RU231	взобраться
RU232	и
RU233	повыше.
RU234	Вскоре
RU235	верхушки
RU236	скал
RU237	окрашиваются
RU238	в
RU239	розовый
RU240	цвет
RU241	от
RU242	помёта
RU243	десятка
RU244	тысяч
RU245	гнездящихся
RU246	пингвинов.
RU247	Только
RU248	на
RU249	земле,
RU250	которая
RU251	почти
RU252	полностью
RU253	покрыта
RU254	льдом,
RU255	голые
RU256	скалы
RU257	могут
RU258	считаться
RU259	оазисом.
RU260	Некоторые
RU261	в
RU262	поискахтаких
RU263	оазисов
RU264	отправляются
RU265	вглубь
RU266	континента.
RU267	Это
RU268	-
RU269	нунатаки
RU270	-
RU271	изолированные
RU272	скалистые
RU273	пики
RU274	горных
RU275	хребтов,
RU276	которые
RU277	выступают
RU278	над
RU279	поверхностью
RU280	ледника.
RU281	Зловещая
RU282	тишина
RU283	нарушается
RU284	только
RU285	весной.
RU286	снежные
RU287	буревестники
RU288	прилетели,
RU289	у
RU290	них
RU291	начался
RU292	сезон
RU293	ухаживаний.
RU294	Антарктические
RU295	буревестники
RU296	образуют
RU297	самую
RU298	южную
RU299	колонию
RU300	птиц
RU301	в
RU302	мире.
RU303	Эти
RU304	птицы
RU305	пролетели
RU306	почти
RU307	500
RU308	километров,
RU309	чтобы
RU310	добраться
RU311	до
RU312	своих
RU313	гнездовий.
RU314	Кактолько
RU315	из
RU316	яиц
RU317	вылупятся
RU318	птенцы,
RU319	они
RU320	будут
RU321	вынуждены
RU322	преодолевать
