RU1	ПЛАНЕТА
RU2	ЗЕМЛя
RU3	На
RU4	свой
RU5	страх
RU6	и
RU7	риск
RU8	люди
RU9	поднимаются
RU10	на
RU11	самые
RU12	высокие
RU13	вершины
RU14	планеты.
RU15	Некоторые
RU16	считают,
RU17	что
RU18	взбираясь
RU19	на
RU20	большую
RU21	гору,
RU22	они
RU23	покоряют
RU24	её,
RU25	но,
RU26	на
RU27	самом
RU28	деле,
RU29	мы
RU30	здесь
RU31	только
RU32	гости.
RU33	Это
RU34	-
RU35	холодный,
RU36	чуждый
RU37	нам
RU38	мир.
RU39	ГОРЫ
RU40	ведущий
RU41	ДЭВИД
RU42	АТТЕНБОРО
RU43	А
RU44	это
RU45	другая
RU46	крайность
RU47	одного
RU48	из
RU49	самых
RU50	низменных
RU51	и
RU52	жарких
RU53	мест
RU54	на
RU55	планете.
RU56	Оно
RU57	находится
RU58	на
RU59	высоте
RU60	150
RU61	метров
RU62	ниже
RU63	уровня
RU64	моря.
RU65	Но
RU66	здесь
RU67	идёт
RU68	процесс
RU69	горообразования.
RU70	Озёра,
RU71	заполненные
RU72	серной
RU73	кислотой,
RU74	говорят
RU75	о
RU76	том,
RU77	что
RU78	глубоко
RU79	под
RU80	землёй
RU81	идут
RU82	бурные
RU83	вулканические
RU84	процессы.
RU85	Это
RU86	-
RU87	впадина
RU88	Данакиль
RU89	в
RU90	Эфиопии,
RU91	она
RU92	находится
RU93	в
RU94	гигантской
RU95	трещине
RU96	земной
RU97	коры,
RU98	на
RU99	стыке
RU100	двухтектонических
RU101	плит,
RU102	которые
RU103	медленно
RU104	отодвигаются
RU105	друг
RU106	от
RU107	друга.
RU108	Через
RU109	этот
RU110	разлом
RU111	из
RU112	недр
RU113	на
RU114	поверхность
RU115	поднимается
RU116	лава,
RU117	создавая
RU118	цепь
RU119	молодых
RU120	вулканов.
RU121	Вулкан
RU122	Эрте
RU123	Але
RU124	-
RU125	самый
RU126	активный
RU127	вулкан
RU128	на
RU129	планете,
RU130	в
RU131	его
RU132	кратере
RU133	находится
RU134	озеро
RU135	расплавленной
RU136	лавы,
RU137	которое
RU138	кипит
RU139	уже
RU140	больше
RU141	100
RU142	лет.
RU143	Когда-то
RU144	те
RU145	же
RU146	самые
RU147	тектонические
RU148	силы
RU149	создали
RU150	Эфиопское
RU151	нагорье.
RU152	70
RU153	миллионов
RU154	лет
RU155	назад
RU156	на
RU157	этом
RU158	месте
RU159	была
RU160	плоская
RU161	равнина,
RU162	лежавшая
RU163	на
RU164	глубине
RU165	впадины
RU166	Данакиль.
RU167	Расплавленная
RU168	лава,
RU169	поднимавшаяся
RU170	из
RU171	недр
