AB1	Апланета
AB2	адгьыл
AB3	Ашьхақәа
AB4	Агәаӷьреи
AB5	ашәарҭареи
AB6	шацугьы,
AB7	ҳапланетаҿы
AB8	зегь
AB9	раасҭа
AB10	иҳараку
AB11	аҭыԥқәа
AB12	рышҟа
AB13	ихалоит
AB14	ауаа.
AB15	Џьоукы
AB16	ашьха
AB17	аҳаракырақәа
AB18	рахь
AB19	ианхала,
AB20	уи
AB21	ҳаиааит,
AB22	ҳнапаҿы
AB23	иааҳгеит
AB24	ҳәа
AB25	ирыԥхьаӡоит,
AB26	аха
AB27	ара
AB28	зегьы
AB29	ҳсасцәоуп.
AB30	Зегьы
AB31	ҳзы
AB32	итәыму,
AB33	ари
AB34	адунеи
AB35	хьшәашәаҿы.
AB36	Ашьхақәа.
AB37	Амҩаԥгаҩ
AB38	Девид
AB39	Аттенборо
AB40	Ари
AB41	зынӡа
AB42	даҽакуп.
AB43	Апланетаҿы
AB44	зегь
AB45	раасҭа
AB46	илаҟәу,
AB47	Зегь
AB48	раасҭа
AB49	иахьшоуроу
AB50	аҭыԥ.
AB51	Иара
AB52	амшын
AB53	азқәаҟнытә
AB54	150
AB55	метра
AB56	аҳаракыраҟны
AB57	ишьҭоуп.
AB58	Аха
AB59	ара
AB60	макьана
AB61	ашьхақәа
AB62	рышьақәгылара
AB63	апроцесс
AB64	аанымгылац.
AB65	Атыҩша
AB66	ҵәыҵәырақәа
AB67	рыла
AB68	иҭәу
AB69	аӡиақәа
AB70	ирҳәоит
AB71	адгьыл
AB72	аҵаҟа
AB73	аҵаулараҿы,
AB74	авулкантә
AB75	процессқәа
AB76	аилашра
AB77	ишаҿу.
AB78	Ари
AB79	Данакил
AB80	аҭаҳароуп.
AB81	Ефиопиа
AB82	иҟоуп.
AB83	Адгьыл
AB84	ацәа
AB85	аиҟәыршьшьарҭа
AB86	ду
AB87	аҿы,
AB88	маҷ-маҷ
AB89	аидыҵра
AB90	иаҿу
AB91	архитектоникатә
AB92	плитақәа
AB93	ҩба
AB94	реиҿагыларҭаҿы
AB95	ишьҭоуп.
AB96	Аҵантә,
AB97	абри
AB98	аиҟәжәарҭахьтә
AB99	ибжьыҵны
AB100	хыхь
AB101	ихалоит
AB102	алава,
AB103	аки-аки
AB104	иеишьҭаргыланы
AB105	авулкан
AB106	ҿыцқәа
AB107	зхылҵуа.
AB108	Авулкан
AB109	Ерте
AB110	Але.
AB111	Апланетаҿы
AB112	зегьы
AB113	раасҭа
AB114	мчы
AB115	змоу.
AB116	Ари
AB117	авулкан
AB118	аҭаҳараҿы
AB119	иҟоуп
AB120	иӡыҭыз
AB121	алава
AB122	зҭатәоу
AB123	аӡиа.
AB124	Уи
AB125	шьҭа
AB126	100
AB127	шықәса
AB128	иреиҳауп
AB129	аилашра
AB130	иаҿуижьҭеи.
AB131	Анкьа
AB132	зны
AB133	абарҭ
AB134	атектоникатә
AB135	мчқәа
AB136	роуп
AB137	ишьақәзыргылаз
AB138	Ефиопиатәи
AB139	аҳаракырагьы.
AB140	70
AB141	миллион
AB142	шықәса
AB143	раԥхьа
AB144	абри
AB145	аҭыԥ
AB146	аҿы
AB147	иҟан
AB148	Данакила
AB149	аҭаҳара
AB150	аҵан
AB151	ишьҭаз
AB152	акаршәра
AB153	еиужь.
AB154	Иӡыҭыз
AB155	алава
AB156	адгьыл
AB157	аҵантә
AB158	ихаланы,
AB159	каршәра
AB160	дуны
AB161	ишьҭалеит,
AB162	Уи
AB163	аҭбаара
AB164	800
AB165	км
AB166	рҟынӡа
AB167	инаӡоит.
AB168	Африкагьы
AB169	хыбраҵас
AB170	иахагылоу
AB171	иароуп.
AB172	Азқьышықәсақәа
AB173	рыҩныҵҟала
AB174	ақәеи
AB175	аҵаақәеи
AB176	идыршәыз
AB177	алава
AB178	зықәцәқәа
AB179	ҵару
AB180	аҩхаақәаны
AB181	игылт.
AB182	Арҭ
AB183	ашьхақәа
AB184	рҿы
AB185	хә-километрак
AB186	инарзынаԥшуа
AB187	аҳаракыраҿы
AB188	ԥстәы
AB189	џьашьахәқәак
AB190	нхоит
AB191	–
AB192	Геллады
AB193	захьӡу
AB194	амаамынқәа.
AB195	Арҭ
AB196	амаамынқәа
AB197	Ефиопиатәи
AB198	аҳаракырақәа
AB199	рҿы
AB200	ада
AB201	џьаргьы
AB202	иуԥылаӡом.
AB203	Дара
AB204	ахьыцәо
AB205	ацаҟьақәа
AB206	рҿы
AB207	–
AB208	ибзианы
AB209	иазыҟаҵоу
AB210	альпинистцәа
AB211	рыда
AB212	уаҩ
AB213	дызнеиӡом.
AB214	Агелладақәа
AB215	ара
AB216	анхаразы
AB217	иаҭаху
AB218	зегь
AB219	рымоуп:
AB220	егьырҭ
AB221	амаамынқәа
AB222	зегь
AB223	раасҭа
AB224	рнацәкьарақәа
AB225	ӷәӷәоуп,
AB226	агәаӷьрагьы
AB227	рымоуп.
AB228	Аха,
AB229	араҟа
AB230	аҟазааразы
AB231	аҳаракыра
AB232	ацәымшәара
AB233	мацара
AB234	азхаӡом.
AB235	Агелладақәа
AB236	мышктәи
AB237	рыԥсҭазаарала,
AB238	урҭ
AB239	зынио
AB240	ауадаҩрақәа
AB241	ацәцашьас
AB242	иарҭо
AB243	џьаушьаратәы
AB244	иҟоуп.
AB245	Ашьыжь
AB246	амаамынқәа
AB247	зегьы
AB248	рхәы
AB249	дрыцқьоит,
AB250	уи
AB251	анаҩс
AB252	аиҩызцәа
AB253	реицәажәара
AB254	иаамҭоуп.
AB255	Аха
AB256	егьырҭ
AB257	амаамынқәа
AB258	излареиԥшым,
AB259	ари
AB260	аҵас
AB261	анымҩаԥысуа
AB262	агелладақәа
AB263	ҿеихак
AB264	рымаӡам…
AB265	Абас
AB266	ауп
AB267	ажәабжь
