RU1	ПЛАНЕТА
RU2	ЗЕМЛя
RU3	сто
RU4	лет
RU5	назад
RU6	население
RU7	Земли
RU8	составляло
RU9	полтора
RU10	миллиарда
RU11	человек.
RU12	А
RU13	сегодня
RU14	на
RU15	хрупкой
RU16	планете
RU17	нас
RU18	больше
RU19	шести
RU20	миллиардов.
RU21	И,
RU22	тем
RU23	не
RU24	менее,
RU25	на
RU26	Земле
RU27	ещё
RU28	остались
RU29	места,
RU30	где
RU31	не
RU32	ступала
RU33	нога
RU34	человека.
RU35	В
RU36	этой
RU37	серии
RU38	вы
RU39	увидите
RU40	последние
RU41	нетронутые
RU42	уголки
RU43	дикой
RU44	природы,
RU45	какими
RU46	вы
RU47	их
RU48	ещё
RU49	никогда
RU50	не
RU51	видели.
RU52	ОТ
RU53	ПОЛЮсА
RU54	ДО
RU55	ПОЛЮсА
RU56	ведущий
RU57	ДЭВИД
RU58	АТТЕНБОРО
RU59	Представьте
RU60	себе
RU61	мир
RU62	без
RU63	солнца.
RU64	самцы
RU65	императорских
RU66	пингвинов
RU67	живут
RU68	как
RU69	раз
RU70	в
RU71	таком
RU72	мире.
RU73	В
RU74	самых
RU75	суровых
RU76	условиях
RU77	антарктической
RU78	зимы.
RU79	Здесь
RU80	всё
RU81	время
RU82	темно,
RU83	а
RU84	температура
RU85	достигает
RU86	минус
RU87	семидесяти
RU88	градусов
RU89	по
RU90	Цельсию.
RU91	Пингвины
RU92	не
RU93	бегут
RU94	от
RU95	морозов,
RU96	как
RU97	другие
RU98	животные.
RU99	Каждый
RU100	из
RU101	них
RU102	охраняет
RU103	сокровище
RU104	-
RU105	яйцо,
RU106	которое
RU107	они
RU108	носят
RU109	на
RU110	ногах
RU111	и
RU112	согревают
RU113	под
RU114	складками
RU115	брюшка.
RU116	Здесь
RU117	нет
RU118	ни
RU119	пищи,
RU120	ни
RU121	воды,
RU122	и
RU123	пингвины
RU124	не
RU125	увидят
RU126	солнца
RU127	ещё
RU128	4
RU129	месяца.
RU130	Ни
RU131	одно
RU132	другое
RU133	животное
RU134	не
RU135	сталкивается
RU136	с
RU137	таким
RU138	суровым
RU139	испытанием.
RU140	Покинув
RU141	Антарктику,
RU142	солнце
RU143	восходит
RU144	над
RU145	северным
RU146	полюсом.
RU147	сейчас
RU148	март,
RU149	и
RU150	солнце
RU151	возвращается
RU152	в
RU153	Арктику,
RU154	прекращая
RU155	здесь
RU156	4
RU157	месяца
RU158	темноты.
RU159	Белая
RU160	медведица
RU161	уже
RU162	не
RU163	спит.
RU164	Она
RU165	провела
RU166	в
RU167	берлоге
RU168	всю
RU169	зиму,
RU170	и
RU171	её
RU172	появление
RU173	знаменует
RU174	начало
RU175	весны.
RU176	Выйдя
RU177	из
RU178	многомесячного
RU179	заточения
RU180	она
RU181	съезжает
RU182	со
RU183	склона
RU184	на
RU185	боку,
RU186	то
RU187	ли
RU188	для
RU189	того,
RU190	чтобы
RU191	почистить
RU192	мех,
RU193	то
RU194	ли
RU195	просто
RU196	ради
RU197	удовольствия.
RU198	Её
RU199	детёныши
RU200	впервые
RU201	видят
RU202	новый,
RU203	светлый
RU204	мир.
RU205	Мать
RU206	зовёт
RU207	их,
RU208	но
RU209	на
RU210	крутом
RU211	склоне
RU212	нелегко
